ACCIDENT_NO,NODE_ID,ROAD_ROUTE_1,ROAD_NAME,ROAD_TYPE,ROAD_NAME_INT,ROAD_TYPE_INT,DISTANCE_LOCATION,DIRECTION_LOCATION
T20230006450,205541,2510,QUEENS,ROAD,ARTHUR,STREET,51,N
T20140013488,272821,9999,WATT,ROAD,MCLENNAN,STREET,349,SE
T20190018462,589104,5790,ELTHAM-YARRA GLEN,ROAD,KANGAROO GROUND-WARRANDYTE,ROAD,7,S
T20140009989,356149,2820,WEST GATE,FREEWAY,BAY,TRAIL,180,NW
T20120026930,41265,5299,HAWTHORN,ROAD,CHARLES,STREET,,S
T20220007169,773905,9999,BOX,STREET,PAPERBARK,STREET,45,W
T20170023163,326150,9999,WOLLASTON,ROAD,SOMMERVILLE,BOULEVARD,74,N
T20160007088,37669,5898,TOORAK,ROAD,YARRA,STREET,,W
T20150008556,29997,5732,MURRAY,ROAD,CHIFLEY,DRIVE,281,W
T20170005424,295299,5164,THOMPSON,ROAD,FERNSIDE,DRIVE,,W
T20250009103,817306,9999,CAPTAINS CREEK,ROAD,BURGAN,TRACK,33,W
T20150000265,27042,9999,MARGINAL,ROAD,WILHELMINA FALLS,ROAD,,N
T20240017938,806389,2500,PRINCES,FREEWAY,PRINCES OUT-CENTRAL OF,RAMP,56,E
T20160000844,298793,5864,MARIBYRNONG,ROAD,DUTTON,LANE,9,W
T20160008463,305807,5515,HIGH,STREET,FINDON,ROAD,117,S
T20210003462,675957,9999,BARRY,ROAD,BARRY,ROAD,18,W
T20140009939,29893,5044,FLEMINGTON,ROAD,ELIZABETH,STREET,,SE
T20130019738,71891,5539,GLENGARRY WEST,ROAD,TRARALGON-MAFFRA,ROAD,,NW
T20230026569,57530,2750,BURWOOD,HIGHWAY,TYNER,ROAD,,W
T20230018751,778835,5574,SNOW,ROAD,WHOROULY RIVER,ROAD,5,NE
T20180021780,50747,2670,BALLARAT,ROAD,GEORGE,STREET,,W
T20220010045,234112,9999,BREDT,STREET,MORONEY,STREET,,N
T20200022155,675240,5805,DONCASTER,ROAD,MACEDON,AVENUE,14,E
T20180010696,331360,5327,BALLARAT-MARYBOROUGH,ROAD,GOLF COURSE,ROAD,306,SE
T20240002923,201140,5840,MARINE,PARADE,GLEN HUNTLY,ROAD,67,NW
T20250005985,817729,2000,MONASH,FREEWAY,WAVERLEY,ROAD,613,NW
T20220001298,718624,9999,MANGANS,ROAD,MAROONDAH,HIGHWAY,9,SE
T20160022296,311206,9999,CLARENDON,STREET,HARRY,STREET,27,E
T20160016025,306151,9999,SWANSTON,STREET,TURNER,ALLEY,9,S
T20180000863,326601,9999,EVANS,STREET,SALEYARD,LANE,38,NE
T20120002295,37825,9999,RICHARDSON,STREET,STATION,STREET,,W
T20170007426,299403,2590,MIDLAND,HIGHWAY,CLYDE HILL,ROAD,,SE
T20240030924,29868,7424,PLENTY-METROPOLITAN RING IN,RAMP,PLENTY,ROAD,,E
T20190006992,360571,2550,HUME,FREEWAY,HUME IN-BROADFORD-WANDONG OF,RAMP,30,N
T20190009883,633850,9999,LYGON,STREET,ARGYLE N,PLACE,55,N
T20180019336,338579,9999,MOUNT WILLIAM,ROAD,YALLA-Y-POORA,ROAD,2452,SE
T20180021569,243047,9999,HIGH,STREET,ROSEBERRY,AVENUE,27,S
T20190025007,612214,9999,TYNONG NORTH,ROAD,PRINCES,FREEWAY,384,N
T20240004327,52729,9999,NAPIER,STREET,VICTORIA,STREET,,N
T20160011668,304805,2550,HUME,FREEWAY,LITHGOW-HUME IN ON,RAMP,605,S
T20120018996,38274,5391,THOMPSONS,ROAD,KILLARNEY,ROAD,,SW
T20180011805,260158,5048,COBURNS,ROAD,COBURNS REV,ROAD SERVICE ROAD,61,S
T20230001590,289646,5840,MARINE PARADE -ORMOND,ESPLANADE,GLEN HUNTLY,ROAD,,NW
T20180023503,343695,9999,SHAFTSBURY,STREET,MUNRO,STREET,93,S
T20230004028,765752,9999,ROCHES,ROAD,BULLOCK TRACK,ROAD,233,W
T20210026499,781656,5493,KINGS,ROAD,GILLESPIE,ROAD,52,N
T20160017303,311268,9999,RAMSAY,ROAD,MATHESON,ROAD,137,NE
T20170000270,312641,9999,LARDNERS,TRACK,GELLIBRAND EAST,ROAD,260,N
T20220021453,782754,5530,SUNSHINE,AVENUE,SUNSHINE FWD,AVENUE SERVICE ROAD,109,NW
T20250001576,813996,9999,CENTRAL PARK,AVENUE,AITKEN,BOULEVARD,153,E
T20140009283,270617,9999,KING PARROT CREEK,ROAD,FAIRVIEW,ROAD,600,S
T20120025743,255120,5397,BEEK,STREET,FOY,STREET,53,SE
T20130005185,57692,4034,POINT NEPEAN,ROAD,ADELAIDE,STREET,,E
T20200018053,50909,9999,MELROSE,DRIVE,SILVA,DRIVE,,S
T20120014101,91,9999,LINCOLN,SQUARE,SWANSTON,STREET,,W
T20220016404,782264,5287,SWAN,STREET,CREMORNE,STREET,8,E
T20130024487,265777,9999,RIDGE,ROAD,NATIVES,TRACK,184,NE
T20130008214,268703,9999,NASH,ROAD,LINTONS,ROAD,510,E
T20140010779,271331,2550,HUME,FREEWAY,HUME OUT-URMSTON OF,RAMP,2346,SW
T20130011203,269097,5783,MOUNTAIN,HIGHWAY,HILTON,ROAD,846,SE
T20200010578,29646,5296,NEERIM,ROAD,GRANGE,ROAD,,W
T20220004149,731402,5736,NICHOLSON,STREET,NEWRY,STREET,77,S
T20210012370,685860,2190,SURFCOAST,HIGHWAY,TORQUAY,ROAD,141,S
T20140001116,233,9999,ELIZABETH,STREET,FLINDERS,STREET,,N
T20200006231,230257,9999,HALL,STREET,HYDE,STREET,,W
T20140019179,52618,2110,WILSON,STREET,URQUHART,STREET,,W
T20230020855,51327,9999,GEORGE,STREET,LEONORA,STREET,,SE
T20120008777,251800,5957,WARBURTON-WOODS POINT,ROAD,FRENCHMANS SPUR,TRACK,82,N
T20220026936,738177,2550,HUME,FREEWAY,METROPOLITAN RING IN-HUME,RAMP,706,N
T20240028870,811357,5520,BALLARAT,ROAD,GORDON,STREET,46,E
T20160006574,301334,5757,FRANKSTON-FLINDERS,ROAD,STONY POINT,ROAD,171,S
T20120007441,41051,9999,ALBERT,AVENUE,BAMBURY,STREET,,SW
T20200007154,122357,5000,EDGARS,ROAD,VICTORIA,DRIVE,13,NW
T20170024176,38663,9999,QUEENSVILLE,STREET,SOMERVILLE,ROAD,,N
T20210006072,37262,9999,BALACLAVA,AVENUE,MERTON,STREET,,W
T20140000437,267115,4890,GREAT OCEAN,ROAD,HARVEY,STREET,55,SW
T20240003781,38227,2850,ROSANNA,ROAD,STATION,ROAD,,S
T20230017865,778882,9999,STERNBERG,STREET,LIGAR,STREET,8,S
T20120014952,252864,9999,DOHERTYS,ROAD,BOLTE ALT,DRIVE,242,W
T20200003814,659145,5960,SOMERTON,ROAD,AUSTRAK,DRIVE,5,W
T20190019849,657123,2510,PRINCES,FREEWAY,NAR NAR GOON-LONGWARRY,ROAD,10,W
T20220004569,705567,5840,ESPLANADE,,WELLINGTON,STREET,149,N
T20130012215,261025,2800,LATROBE,TERRACE,RUSSELL,STREET,23,N
T20240002643,798421,9999,WALKER,STREET,LONSDALE,STREET,27,W
T20240008080,801539,9999,KANGAN,DRIVE,CLYDE,ROAD,445,E
T20180015818,337046,9999,BESSIE CREEK,ROAD,SEYMOUR,ROAD,844,N
T20170007727,354711,5784,DORSET,ROAD,MT DANDENONG,ROAD,16,S
T20140005330,41918,5429,NAPOLEON,ROAD,KELLETTS,ROAD,26,NE
T20230022658,39352,9999,DORKING,ROAD,THAMES,STREET,,N
T20200012347,668312,5298,ST KILDA,STREET,GLEN HUNTLY,ROAD,131,S
T20150003363,286566,5819,PASCOE VALE,ROAD,CAMERON,ROAD,32,NE
T20150010613,289337,2400,SPRINGVALE,ROAD,VISION,DRIVE,80,N
T20210008953,681559,9999,TRESIZE,TRACK,PLANT,ROAD,1646,E
T20220007879,715451,9999,DWYER,STREET,DIANELLA,AVENUE,38,N
T20130009480,224325,5106,CRAIGIEBURN,ROAD,BENSTON,STREET,,W
T20250004160,298501,9999,HOWARD,STREET,MYRTLE,ROAD,,W
T20140005567,270990,2900,WESTERN RING,ROAD,WESTERN RING IN-AIRPORT OF,RAMP,19,NE
T20160013373,38250,2400,MANNINGHAM,ROAD,GREENAWAY,STREET,,NW
T20240019763,342234,9999,WOODS,STREET,OLD PRINCES,HIGHWAY,15,SW
T20130023459,265372,5613,BENGWORDEN,ROAD,BUSHS,ROAD,540,W
