ACCIDENT_NO,SUB_DCA_CODE,SUB_DCA_SEQ,SUB_DCA_CODE_DESC
T20120000328,Q02,2,Tree (shrub/scrub)
T20120001412,C01,3,Pedestrian stepped off median strip
T20120002138,N01,1,Intersection
T20120002271,R02,1,Kerb parking - parallel
T20120002809,A01,2,Vehicle entering intersection
T20120003903,NRQ,1,Not Required
T20120003955,V02,1,Kerb(roadside) mounted/struck
T20120004484,N01,1,Intersection
T20120005063,V01,1,No vehicle mounted/struck
T20120005104,Q02,2,Tree (shrub/scrub)
T20120005197,N01,1,Intersection
T20120005418,NRQ,1,Not Required
T20120005634,Q02,2,Tree (shrub/scrub)
T20120006415,NRQ,1,Not Required
T20120006603,W01,2,Leaves carriageway to left
T20120006923,V01,1,No vehicle mounted/struck
T20120007565,I01,1,Private driveway/laneway
T20120007593,I04,1,Commercial(includes shops/school/station) driveway
T20120007616,Q01,2,Poles (telephone/electricity)
T20120007740,L04,1,Road curved at mid-block
T20120008526,A01,2,Vehicle entering intersection
T20120008677,L04,1,Road curved at mid-block
T20120009679,A01,2,Vehicle entering intersection
T20120009793,L04,1,Road curved at mid-block
T20120010104,N01,1,Intersection
T20120010573,Q02,0,Tree (shrub/scrub)
T20120011485,V01,1,No vehicle mounted/struck
T20120011677,I04,2,Commercial(includes shops/school/station) driveway
T20120012436,R02,1,Kerb parking - parallel
T20120012531,A01,2,Vehicle entering intersection
T20120012623,L03,1,Road straight at mid-block
T20120013023,NRQ,1,Not Required
T20120013418,A01,2,Vehicle entering intersection
T20120013729,N01,1,Intersection
T20120013883,N02,1,Mid-block
T20120014183,N02,1,Mid-block
T20120014215,N02,1,Mid-block
T20120014344,N02,1,Mid-block
T20120014346,N01,1,Intersection
T20120014727,NRQ,1,Not Required
T20120014875,V03,2,Traffic island mounted/struck
T20120014879,N01,1,Intersection
T20120014906,N02,1,Mid-block
T20120015150,H03,2,Vehicle foward departing
T20120015198,V05,1,Median mounted/struck
T20120015210,N01,1,Intersection
T20120015695,A01,2,Vehicle entering intersection
T20120015850,NRQ,1,Not Required
T20120016214,NRQ,0,Not Required
T20120016268,Q06,2,Traffic signs (No parking No standing etc)
T20120016527,H04,2,Vehicle reverse departing
T20120017440,N01,1,Intersection
T20120017546,A01,2,Vehicle entering intersection
T20120017608,A01,1,Vehicle entering intersection
T20120018429,Z06,1,On exit ramp
T20120018526,V01,1,No vehicle mounted/struck
T20120018620,X02,1,Fell from vehicle
T20120018947,V01,1,No vehicle mounted/struck
T20120019229,Q04,3,Embankments
T20120019536,V01,1,No vehicle mounted/struck
T20120019722,A02,1,Vehicle leaving intersection
T20120019722,B01,2,Vehicle going straight through
T20120019732,V01,1,No vehicle mounted/struck
T20120020000,N02,1,Mid-block
T20120020157,Q02,2,Tree (shrub/scrub)
T20120020610,Q02,3,Tree (shrub/scrub)
T20120020610,W02,2,Leaves carriageway to right
T20120020997,V02,1,Kerb(roadside) mounted/struck
T20120021131,N01,1,Intersection
T20120021308,R02,1,Kerb parking - parallel
T20120021713,NRQ,1,Not Required
T20120021808,V02,1,Kerb(roadside) mounted/struck
T20120021826,V01,1,No vehicle mounted/struck
T20120022067,N01,1,Intersection
T20120022626,B03,2,Vehicle turning left
T20120022643,NRQ,1,Not Required
T20120023454,NRQ,1,Not Required
T20120023910,NRQ,1,Not Required
T20120024107,NRQ,1,Not Required
T20120024168,Q02,1,Tree (shrub/scrub)
T20120024237,NRQ,1,Not Required
T20120024519,V01,2,No vehicle mounted/struck
T20120024673,NRQ,1,Not Required
T20120024723,NRQ,1,Not Required
T20120024738,V01,1,No vehicle mounted/struck
T20120025125,NRQ,1,Not Required
T20120025475,N01,1,Intersection
T20120025840,B03,2,Vehicle turning left
T20120025901,Q05,2,Guide posts (including km/posts)
T20120026087,NRQ,1,Not Required
T20120026177,Q02,2,Tree (shrub/scrub)
T20120026350,V01,2,No vehicle mounted/struck
T20120027190,NRQ,1,Not Required
T20120027363,NRQ,1,Not Required
T20120027403,J02,1,Alighting
T20120027564,A01,2,Vehicle entering intersection
T20120027673,V01,1,No vehicle mounted/struck
T20120028639,B01,2,Vehicle going straight through
T20120028764,NRQ,0,Not Required
T20120028877,NRQ,1,Not Required
T20130000821,I04,1,Commercial(includes shops/school/station) driveway
T20130000957,Q07,1,Guard rail
T20130001169,N01,2,Intersection
T20130001333,D01,3,Pedestrian emerged from behind car etc
T20130001456,N01,2,Intersection
T20130001491,V01,1,No vehicle mounted/struck
T20130001602,A01,1,Vehicle entering intersection
T20130001831,M01,2,Vehicle turning through medianopening
T20130002249,NRQ,1,Not Required
T20130003638,A01,1,Vehicle entering intersection
T20130003675,NRQ,1,Not Required
T20130004079,V01,1,No vehicle mounted/struck
T20130004921,NRQ,1,Not Required
T20130004991,N01,2,Intersection
T20130005624,NRQ,1,Not Required
T20130005663,Q01,3,Poles (telephone/electricity)
T20130006525,B01,2,Vehicle going straight through
T20130006740,B02,2,Vehicle turning right
T20130007131,Q04,3,Embankments
T20130007225,W01,2,Leaves carriageway to left
T20130007387,NRQ,1,Not Required
T20130007554,L04,1,Road curved at mid-block
T20130007598,V01,2,No vehicle mounted/struck
T20130007723,NRQ,1,Not Required
T20130007778,NRQ,1,Not Required
T20130008158,I04,1,Commercial(includes shops/school/station) driveway
T20130008519,V02,2,Kerb(roadside) mounted/struck
T20130008694,A03,1,Vehicle within intersection
T20130008960,R02,1,Kerb parking - parallel
T20130009190,NRQ,0,Not Required
T20130009551,V01,1,No vehicle mounted/struck
T20130009601,H01,2,Vehicle foward entering
T20130009758,N01,1,Intersection
T20130010096,NRQ,1,Not Required
T20130010214,NRQ,0,Not Required
T20130010459,V02,1,Kerb(roadside) mounted/struck
T20130010579,B01,2,Vehicle going straight through
T20130010617,Q09,1,Buildings
T20130010750,N01,2,Intersection
T20130011099,NRQ,1,Not Required
T20130011312,NRQ,1,Not Required
T20130011874,M01,1,Vehicle turning through medianopening
T20130011962,V01,1,No vehicle mounted/struck
T20130012183,Q02,1,Tree (shrub/scrub)
T20130012187,N01,1,Intersection
T20130012268,Z01,2,On freeway (between interchanges)
T20130012978,Z01,3,On freeway (between interchanges)
T20130013194,I01,2,Private driveway/laneway
T20130013308,A02,1,Vehicle leaving intersection
T20130013432,R02,1,Kerb parking - parallel
T20130013880,V02,1,Kerb(roadside) mounted/struck
T20130014123,B03,2,Vehicle turning left
T20130014186,NRQ,1,Not Required
T20130014458,NRQ,1,Not Required
T20130014724,V02,0,Kerb(roadside) mounted/struck
T20130015026,Q02,1,Tree (shrub/scrub)
T20130015186,N02,1,Mid-block
T20130015556,V02,2,Kerb(roadside) mounted/struck
T20130016032,NRQ,1,Not Required
T20130016202,V01,2,No vehicle mounted/struck
T20130016412,NRQ,1,Not Required
T20130016779,NRQ,1,Not Required
T20130016792,R02,1,Kerb parking - parallel
T20130016943,V05,1,Median mounted/struck
T20130016953,Q10,1,Other objects (Telephone/Culvert/RX) Fixed/Not Fixed
T20130017338,W01,3,Leaves carriageway to left
T20130017460,M01,1,Vehicle turning through medianopening
T20130018907,A01,1,Vehicle entering intersection
T20130019049,S01,3,Collision on first half of carriageway
T20130019058,M01,1,Vehicle turning through medianopening
T20130019065,NRQ,1,Not Required
T20130019471,V05,2,Median mounted/struck
T20130019718,M01,1,Vehicle turning through medianopening
T20130019782,Z01,2,On freeway (between interchanges)
T20130019871,NRQ,1,Not Required
T20130020310,L04,1,Road curved at mid-block
T20130020681,S03,3,On footpath
T20130020763,A01,1,Vehicle entering intersection
T20130020901,Z02,2,At entrance ramp/local road intersection
T20130020919,NRQ,1,Not Required
T20130021370,V02,2,Kerb(roadside) mounted/struck
T20130021518,NRQ,1,Not Required
T20130021920,Z03,3,On entrance ramp
T20130022097,N01,1,Intersection
T20130022189,V01,2,No vehicle mounted/struck
T20130022583,N02,1,Mid-block
T20130022931,V01,2,No vehicle mounted/struck
T20130023070,N02,1,Mid-block
T20130023076,Q10,1,Other objects (Telephone/Culvert/RX) Fixed/Not Fixed
T20130023852,A03,1,Vehicle within intersection
T20130023999,A01,1,Vehicle entering intersection
T20130024419,I06,2,Laneway
T20130024794,N01,1,Intersection
T20130024885,NRQ,1,Not Required
T20130024930,M01,0,Vehicle turning through medianopening
T20130025033,NRQ,1,Not Required
T20130025115,NRQ,1,Not Required
T20130025419,V02,2,Kerb(roadside) mounted/struck
T20130025711,NRQ,1,Not Required
T20130025851,R02,1,Kerb parking - parallel
T20130026073,N01,2,Intersection
T20130026183,NRQ,1,Not Required
T20130026452,Q02,1,Tree (shrub/scrub)
T20130026474,N02,1,Mid-block
T20130026811,Q02,1,Tree (shrub/scrub)
T20140000198,Q01,0,Poles (telephone/electricity)
T20140000353,V02,2,Kerb(roadside) mounted/struck
T20140000433,A03,0,Vehicle within intersection
T20140000517,V01,2,No vehicle mounted/struck
T20140000653,N01,1,Intersection
T20140001111,Q02,1,Tree (shrub/scrub)
T20140001452,A03,1,Vehicle within intersection
T20140001769,N01,2,Intersection
T20140001824,V01,1,No vehicle mounted/struck
T20140001862,V01,1,No vehicle mounted/struck
T20140001877,M01,1,Vehicle turning through medianopening
T20140002106,Q02,1,Tree (shrub/scrub)
T20140002334,N02,1,Mid-block
T20140002504,NRQ,1,Not Required
T20140002648,A02,1,Vehicle leaving intersection
T20140002688,V02,2,Kerb(roadside) mounted/struck
T20140002973,N01,1,Intersection
T20140003034,S01,3,Collision on first half of carriageway
T20140003846,A03,1,Vehicle within intersection
T20140003987,NRQ,1,Not Required
T20140004201,NRQ,1,Not Required
T20140004404,V01,2,No vehicle mounted/struck
T20140004686,N01,1,Intersection
T20140004972,NRQ,0,Not Required
T20140005191,NRQ,1,Not Required
T20140005356,H04,1,Vehicle reverse departing
T20140005372,N01,2,Intersection
T20140005483,B02,2,Vehicle turning right
T20140006101,A01,1,Vehicle entering intersection
T20140006301,W01,3,Leaves carriageway to left
T20140006317,Q02,1,Tree (shrub/scrub)
T20140006423,R01,1,Kerb parking - angle
T20140006506,V01,2,No vehicle mounted/struck
T20140006931,X02,1,Fell from vehicle
T20140007080,R03,1,Centre of road parking - angle
T20140007489,L04,1,Road curved at mid-block
T20140007871,NRQ,1,Not Required
T20140007964,N02,1,Mid-block
T20140007981,H04,1,Vehicle reverse departing
T20140008041,NRQ,1,Not Required
T20140008661,NRQ,0,Not Required
T20140009410,V01,2,No vehicle mounted/struck
T20140010175,A01,0,Vehicle entering intersection
T20140010296,D02,1,Pedestrian emerged from behindtruck
T20140010522,NRQ,1,Not Required
T20140010645,V01,1,No vehicle mounted/struck
T20140011011,NRQ,1,Not Required
T20140011114,A03,1,Vehicle within intersection
T20140011593,Z01,2,On freeway (between interchanges)
T20140011808,N01,1,Intersection
T20140012033,N01,1,Intersection
T20140012621,A02,1,Vehicle leaving intersection
T20140013646,V02,1,Kerb(roadside) mounted/struck
T20140013718,Y01,2,Any vehicle (include trailer or parked car)
T20140013934,I04,1,Commercial(includes shops/school/station) driveway
T20140014092,A03,0,Vehicle within intersection
T20140014450,V01,2,No vehicle mounted/struck
T20140015163,V05,1,Median mounted/struck
T20140015230,I04,2,Commercial(includes shops/school/station) driveway
T20140015651,NRQ,0,Not Required
T20140015911,Q07,1,Guard rail
T20140016443,N02,1,Mid-block
T20140016699,I06,1,Laneway
T20140016955,V02,2,Kerb(roadside) mounted/struck
T20140017478,V02,2,Kerb(roadside) mounted/struck
T20140018409,V07,1,Roundabout mounted/struck
T20140018465,B01,2,Vehicle going straight through
T20140019182,NRQ,0,Not Required
T20140019255,N02,1,Mid-block
T20140020371,Z01,2,On freeway (between interchanges)
T20140020703,N02,1,Mid-block
T20140020818,NRQ,0,Not Required
T20140021449,B01,1,Vehicle going straight through
T20140022530,W01,2,Leaves carriageway to left
T20140022947,Q04,0,Embankments
