day_of_week,area_type,n_crashes,n_fatal,fatal_rate
Friday,Rural,5727,254,0.044351318316745124
Thursday,Rural,5089,219,0.0430339948909412
Monday,Rural,5247,222,0.042309891366495385
Wednesday,Rural,5044,202,0.04004758128469473
Sunday,Rural,7013,280,0.039925851989162625
Tuesday,Rural,4994,196,0.03924709651581903
Saturday,Rural,7091,276,0.038922577915667694
Saturday,Urban,18958,229,0.012079333263002489
Sunday,Urban,15591,179,0.011480982618177097
Thursday,Urban,23232,239,0.010287534435261834
Friday,Urban,23803,234,0.00983069361004956
Monday,Urban,20228,196,0.009689539252521228
Wednesday,Urban,22946,211,0.009195502484092963
Tuesday,Urban,22055,196,0.008886873724779094
