hour_group,area_type,n_crashes,n_fatal,fatal_rate
Night_Late_Night,Rural,3901,257,0.06588054345039723
Evening,Rural,4596,203,0.044168842471714494
Morning_Rush,Rural,6753,264,0.039093736117281126
Afternoon_Rush,Rural,11120,426,0.03830935251798569
Midday,Rural,13835,499,0.03606794362125058
Night_Late_Night,Urban,11024,280,0.025399129172714034
Evening,Urban,18937,260,0.013729735438559381
Morning_Rush,Urban,28673,252,0.00878875597251784
Midday,Urban,41060,348,0.008475401850949782
Afternoon_Rush,Urban,47119,344,0.007300664275557406
