area_type,hour_group,day_week_desc,season,n_crashes,fatal_crashes,serious_crashes
Urban,Morning Rush (6-9),Monday,Spring,1096,8,342
Urban,Morning Rush (6-9),Monday,Summer,1081,5,365
Urban,Morning Rush (6-9),Monday,Autumn,1194,11,408
Urban,Morning Rush (6-9),Monday,Winter,1098,8,353
Urban,Morning Rush (6-9),Tuesday,Spring,1203,7,359
Urban,Morning Rush (6-9),Tuesday,Summer,1241,11,378
Urban,Morning Rush (6-9),Tuesday,Autumn,1433,10,455
Urban,Morning Rush (6-9),Tuesday,Winter,1317,12,416
Urban,Morning Rush (6-9),Wednesday,Spring,1231,11,388
Urban,Morning Rush (6-9),Wednesday,Summer,1174,9,370
Urban,Morning Rush (6-9),Wednesday,Autumn,1464,13,483
Urban,Morning Rush (6-9),Wednesday,Winter,1326,11,436
Urban,Morning Rush (6-9),Thursday,Spring,1187,12,357
Urban,Morning Rush (6-9),Thursday,Summer,1180,15,364
Urban,Morning Rush (6-9),Thursday,Autumn,1490,12,458
Urban,Morning Rush (6-9),Thursday,Winter,1274,10,375
Urban,Morning Rush (6-9),Friday,Spring,1033,6,329
Urban,Morning Rush (6-9),Friday,Summer,1104,13,348
Urban,Morning Rush (6-9),Friday,Autumn,1306,9,426
Urban,Morning Rush (6-9),Friday,Winter,1180,9,357
Urban,Morning Rush (6-9),Saturday,Spring,542,6,184
Urban,Morning Rush (6-9),Saturday,Summer,624,7,237
Urban,Morning Rush (6-9),Saturday,Autumn,655,4,245
Urban,Morning Rush (6-9),Saturday,Winter,534,5,207
Urban,Morning Rush (6-9),Sunday,Spring,404,4,152
Urban,Morning Rush (6-9),Sunday,Summer,492,11,205
Urban,Morning Rush (6-9),Sunday,Autumn,428,4,175
Urban,Morning Rush (6-9),Sunday,Winter,382,9,133
Urban,Midday (10-14),Monday,Spring,1390,11,457
Urban,Midday (10-14),Monday,Summer,1431,12,479
Urban,Midday (10-14),Monday,Autumn,1423,13,437
Urban,Midday (10-14),Monday,Winter,1232,17,406
Urban,Midday (10-14),Tuesday,Spring,1402,18,456
Urban,Midday (10-14),Tuesday,Summer,1462,9,458
Urban,Midday (10-14),Tuesday,Autumn,1479,12,492
Urban,Midday (10-14),Tuesday,Winter,1212,9,371
Urban,Midday (10-14),Wednesday,Spring,1459,10,473
Urban,Midday (10-14),Wednesday,Summer,1554,13,495
Urban,Midday (10-14),Wednesday,Autumn,1474,11,480
Urban,Midday (10-14),Wednesday,Winter,1436,9,498
Urban,Midday (10-14),Thursday,Spring,1485,16,480
Urban,Midday (10-14),Thursday,Summer,1576,15,496
Urban,Midday (10-14),Thursday,Autumn,1552,17,510
Urban,Midday (10-14),Thursday,Winter,1289,8,429
Urban,Midday (10-14),Friday,Spring,1508,10,497
Urban,Midday (10-14),Friday,Summer,1696,10,526
Urban,Midday (10-14),Friday,Autumn,1565,16,502
Urban,Midday (10-14),Friday,Winter,1580,14,529
Urban,Midday (10-14),Saturday,Spring,1684,21,533
Urban,Midday (10-14),Saturday,Summer,1648,12,514
Urban,Midday (10-14),Saturday,Autumn,1729,10,550
Urban,Midday (10-14),Saturday,Winter,1606,13,516
Urban,Midday (10-14),Sunday,Spring,1291,14,451
Urban,Midday (10-14),Sunday,Summer,1362,13,454
Urban,Midday (10-14),Sunday,Autumn,1351,4,488
Urban,Midday (10-14),Sunday,Winter,1184,11,403
Urban,Afternoon Rush (15-18),Monday,Spring,1634,9,494
Urban,Afternoon Rush (15-18),Monday,Summer,1735,12,520
Urban,Afternoon Rush (15-18),Monday,Autumn,1691,9,559
Urban,Afternoon Rush (15-18),Monday,Winter,1723,12,506
Urban,Afternoon Rush (15-18),Tuesday,Spring,1791,12,532
Urban,Afternoon Rush (15-18),Tuesday,Summer,1991,9,598
Urban,Afternoon Rush (15-18),Tuesday,Autumn,2013,12,595
Urban,Afternoon Rush (15-18),Tuesday,Winter,1807,13,544
Urban,Afternoon Rush (15-18),Wednesday,Spring,1888,17,556
Urban,Afternoon Rush (15-18),Wednesday,Summer,1863,10,538
Urban,Afternoon Rush (15-18),Wednesday,Autumn,2053,16,607
Urban,Afternoon Rush (15-18),Wednesday,Winter,1961,25,604
Urban,Afternoon Rush (15-18),Thursday,Spring,1915,21,583
Urban,Afternoon Rush (15-18),Thursday,Summer,1978,10,595
Urban,Afternoon Rush (15-18),Thursday,Autumn,2115,11,659
Urban,Afternoon Rush (15-18),Thursday,Winter,1956,14,578
Urban,Afternoon Rush (15-18),Friday,Spring,1920,11,605
Urban,Afternoon Rush (15-18),Friday,Summer,1964,16,591
Urban,Afternoon Rush (15-18),Friday,Autumn,2088,19,628
Urban,Afternoon Rush (15-18),Friday,Winter,1965,17,589
Urban,Afternoon Rush (15-18),Saturday,Spring,1103,5,361
Urban,Afternoon Rush (15-18),Saturday,Summer,1186,13,410
Urban,Afternoon Rush (15-18),Saturday,Autumn,1273,5,431
Urban,Afternoon Rush (15-18),Saturday,Winter,1289,12,407
Urban,Afternoon Rush (15-18),Sunday,Spring,1076,11,353
Urban,Afternoon Rush (15-18),Sunday,Summer,1075,9,350
